lemma,id_slovo
be,1
the,2
.,3
I,4
to,5
",",6
you,7
a,8
@,9
of,10
and,11
it,12
in,13
!,14
not,15
for,16
that,17
have,18
do,19
my,20
#,21
on,22
we,23
-,24
"""",25
this,26
at,27
with,28
so,29
),30
(,31
but,32
they,33
?,34
can,35
:,36
all,37
love,38
will,39
make,40
get,41
about,42
what,43
more,44
think,45
use,46
as,47
from,48
would,49
if,50
KUWTK,51
like,52
one,53
see,54
now,55
just,56
up,57
out,58
!!!,59
or,60
!!,61
work,62
she,63
go,64
people,65
how,66
time,67
by,68
know,69
data,70
's,71
need,72
/,73
there,74
ApacheArrow,75
thank,76
no,77
good,78
lol,79
look,80
new,81
should,82
when,83
some,84
year,85
only,86
much,87
way,88
happy,89
these,90
--,91
problem,92
who,93
most,94
which,95
come,96
day,97
because,98
*,99
thing,100
want,101
also,102
...,103
best,104
very,105
really,106
start,107
take,108
say,109
many,110
learn,111
today,112
try,113
always,114
he,115
than,116
!!!!,117
right,118
still,119
pm,120
guy,121
any,122
app,123
life,124
too,125
give,126
great,127
other,128
why,129
even,130
’re,131
better,132
help,133
back,134
first,135
mean,136
open,137
tonight,138
could,139
here,140
available,141
lot,142
over,143
feel,144
never,145
yes,146
model,147
watch,148
shop,149
12,150
then,151
true,152
%,153
birthday,154
same,155
baby,156
into,157
python,158
@kkwbeauty,159
find,160
talk,161
every,162
sure,163
write,164
off,165
world,166
well,167
where,168
wait,169
idea,170
project,171
10,172
week,173
;,174
favorite,175
human,176
let,177
read,178
change,179
everything,180
PST,181
support,182
user,183
3,184
code,185
deep,186
everyone,187
call,188
part,189
post,190
may,191
system,192
launch,193
next,194
hope,195
keep,196
something,197
believe,198
end,199
long,200
own,201
show,202
build,203
collection,204
different,205
last,206
please,207
thanks,208
1,209
base,210
happen,211
issue,212
memory,213
important,214
Keras,215
source,216
such,217
tomorrow,218
create,219
few,220
point,221
+,222
$,223
ever,224
little,225
product,226
2,227
community,228
free,229
lip,230
beautiful,231
excited,232
function,233
oh,234
package,235
place,236
ai,237
case,238
family,239
real,240
(),241
value,242
bad,243
check,244
list,245
maybe,246
while,247
hard,248
pretty,249
sell,250
sister,251
tweet,252
5,253
actually,254
ask,255
before,256
design,257
Google,258
learning,259
miss,260
science,261
amazing,262
classic,263
live,264
mom,265
season,266
Arrow,267
full,268
include,269
its,270
those,271
feature,272
pop,273
until,274
again,275
seem,276
share,277
without,278
💕,279
book,280
future,281
might,282
NA,283
already,284
big,285
kid,286
name,287
tell,288
fact,289
instead,290
space,291
4,292
after,293
fun,294
month,295
night,296
panda,297
wear,298
x,299
dream,300
link,301
question,302
R,303
release,304
set,305
add,306
else,307
language,308
rstudio,309
understand,310
@khloekardashian,311
company,312
definitely,313
mind,314
palette,315
sweet,316
through,317
’ll,318
❤️,319
💋,320
almost,321
another,322
conda,323
developer,324
down,325
episode,326
less,327
step,328
C,329
enough,330
general,331
kind,332
large,333
ok,334
possible,335
both,336
friend,337
game,338
moment,339
order,340
run,341
soon,342
example,343
forget,344
though,345
turn,346
9,347
algorithm,348
answer,349
anyone,350
ApacheParquet,351
break,352
development,353
experience,354
knowledge,355
library,356
rstat,357
solve,358
stuff,359
yet,360
20,361
home,362
KKW,363
leave,364
level,365
party,366
proud,367
sense,368
since,369
stop,370
tech,371
two,372
c,373
far,374
hear,375
high,376
meet,377
move,378
old,379
omg,380
person,381
small,382
bit,383
file,384
kuwtk,385
number,386
quite,387
research,388
shoot,389
++,390
around,391
crazy,392
God,393
power,394
probably,395
program,396
remember,397
✨,398
hour,399
perfect,400
pydata,401
6,402
anything,403
format,404
girl,405
information,406
matter,407
often,408
put,409
someone,410
sorry,411
story,412
term,413
tool,414
!!!!!,415
completely,416
cute,417
develop,418
e.g.,419
easy,420
follow,421
intelligence,422
literally,423
machine,424
money,425
pic,426
result,427
software,428
update,429
api,430
become,431
buy,432
class,433
fix,434
process,435
top,436
bio,437
cool,438
fast,439
layer,440
online,441
play,442
social,443
stay,444
Twitter,445
?!,446
100,447
bless,448
goal,449
hand,450
minute,451
nice,452
sale,453
shade,454
spend,455
version,456
between,457
control,458
form,459
install,460
media,461
nothing,462
self,463
type,464
video,465
’,466
@thomasp85,467
15,468
away,469
cover,470
hate,471
implementation,472
KKWBEAUTY,473
pandas,474
past,475
rather,476
special,477
specific,478
8,479
apply,480
babe,481
close,482
contributor,483
during,484
eat,485
etc,486
k,487
least,488
once,489
reason,490
strong,491
team,492
together,493
US,494
’d,495
~,496
able,497
ago,498
clear,499
implement,500
interesting,501
jorisvdbossche,502
progress,503
require,504
restock,505
review,506
solution,507
teach,508
test,509
vote,510
word,511
7,512
effort,513
grow,514
i,515
opinion,516
rule,517
style,518
useful,519
@kourtneykardash,520
😍,521
Awwwww,522
beauty,523
blog,524
choice,525
contribute,526
copy,527
course,528
detail,529
Friday,530
guide,531
Lipstick,532
must,533
recipe,534
recommend,535
simple,536
speak,537
whole,538
wish,539
yeah,540
@dataandme,541
consider,542
decision,543
expect,544
extremely,545
field,546
framework,547
heart,548
join,549
morning,550
note,551
performance,552
phone,553
plan,554
sign,555
single,556
store,557
yourself,558
access,559
comment,560
compare,561
ConcealBakeBrighten,562
Concealer,563
current,564
exactly,565
exist,566
Facebook,567
fall,568
faster,569
Kanye,570
line,571
natural,572
network,573
news,574
particular,575
pattern,576
pay,577
photo,578
ready,579
reply,580
structure,581
Sunday,582
u,583
workout,584
wow,585
🙏,586
2018,587
across,588
approach,589
avoid,590
business,591
complete,592
environment,593
face,594
gift,595
guess,596
hair,597
likely,598
liner,599
maintainer,600
mostly,601
Parquet,602
pick,603
pregnant,604
sometimes,605
towards,606
train,607
worry,608
&gt,609
application,610
Awwww,611
body,612
dataandme,613
drive,614
each,615
eye,616
generate,617
image,618
JennyBryan,619
KimKardashian,620
lead,621
listen,622
Oss,623
short,624
site,625
win,626
wrong,627
@pwang,628
=,629
🏼,630
block,631
bring,632
